iter	Passed	Remaining
0	100	180932
1	192	172969
2	279	167476
3	374	168309
4	478	171946
5	574	171853
6	683	174966
7	782	175177
8	875	174216
9	972	174121
10	1064	173077
11	1148	171175
12	1243	170873
13	1338	170752
14	1437	171051
15	1530	170640
16	1619	169906
17	1715	169857
18	1809	169620
19	1902	169343
20	1995	169059
21	2088	168756
22	2178	168274
23	2273	168238
24	2368	168156
25	2460	167907
26	2554	167761
27	2657	168172
28	2746	167752
29	2832	167123
30	2919	166612
31	3011	166384
32	3104	166232
33	3190	165718
34	3283	165571
35	3385	165905
36	3475	165602
37	3562	165208
38	3655	165055
39	3761	165503
40	3848	165127
41	3935	164739
42	4028	164616
43	4121	164499
44	4216	164460
45	4309	164336
46	4406	164357
47	4492	163970
48	4578	163597
49	4669	163439
50	4757	163147
51	4854	163179
52	4945	163001
53	5044	163095
54	5138	163026
55	5238	163138
56	5332	163076
57	5425	162966
58	5537	163403
59	5630	163285
60	5719	163053
61	5814	162982
62	5905	162814
63	5988	162433
64	6081	162339
65	6181	162414
66	6271	162214
67	6359	161972
68	6452	161881
69	6548	161829
70	6636	161619
71	6725	161422
72	6822	161394
73	6910	161189
74	6999	160990
75	7087	160768
76	7191	160931
77	7281	160743
78	7372	160609
79	7468	160566
80	7555	160335
81	7650	160277
82	7737	160059
83	7830	159969
84	7922	159847
85	8010	159641
86	8100	159501
87	8201	159561
88	8296	159499
89	8388	159378
90	8474	159149
91	8557	158871
92	8654	158856
93	8752	158849
94	8843	158711
95	8935	158610
96	9027	158487
97	9122	158430
98	9219	158400
99	9307	158227
100	9397	158082
101	9490	157987
102	9601	158187
103	9692	158061
104	9786	157987
105	9873	157795
106	9964	157654
107	10056	157544
108	10154	157535
109	10245	157414
110	10341	157365
111	10427	157153
112	10521	157072
113	10614	156985
114	10707	156890
115	10801	156806
116	10890	156652
117	10974	156431
118	11067	156334
119	11167	156342
120	11259	156230
121	11351	156130
122	11437	155939
123	11522	155733
124	11626	155789
125	11716	155661
126	11808	155555
127	11895	155386
128	11988	155296
129	12080	155184
130	12163	154972
131	12251	154814
132	12341	154683
133	12435	154606
134	12526	154495
135	12614	154337
136	12704	154214
137	12799	154151
138	12887	154002
139	12982	153934
140	13077	153871
141	13165	153723
142	13257	153614
143	13345	153478
144	13429	153281
145	13528	153257
146	13621	153174
147	13720	153148
148	13809	153014
149	13901	152911
150	13995	152840
151	14083	152691
152	14176	152608
153	14273	152558
154	14359	152393
155	14451	152294
156	14540	152162
157	14632	152066
158	14725	151977
159	14820	151913
160	14921	151898
161	15013	151800
162	15103	151679
163	15189	151526
164	15278	151392
165	15367	151268
166	15459	151173
167	15550	151064
168	15645	150990
169	15742	150943
170	15831	150814
171	15927	150756
172	16027	150731
173	16114	150583
174	16201	150438
175	16287	150286
176	16376	150164
177	16467	150061
178	16561	149979
179	16655	149895
180	16744	149779
181	16829	149615
182	16917	149482
183	17028	149553
184	17125	149504
185	17215	149389
186	17307	149287
187	17400	149200
188	17499	149162
189	17590	149053
190	17685	148988
191	17802	149094
192	17893	148987
193	17988	148912
194	18078	148797
195	18164	148653
196	18259	148576
197	18357	148532
198	18443	148381
199	18531	148251
200	18622	148146
201	18708	147999
202	18803	147925
203	18927	148078
204	19023	148012
205	19116	147919
206	19203	147785
207	19293	147669
208	19387	147587
209	19479	147491
210	19566	147350
211	19658	147251
212	19751	147163
213	19850	147115
214	19938	146985
215	20024	146848
216	20110	146706
217	20197	146569
218	20308	146610
219	20401	146517
220	20486	146370
221	20578	146275
222	20674	146207
223	20761	146072
224	20849	145945
225	20943	145866
226	21023	145684
227	21114	145580
228	21214	145535
229	21303	145420
230	21402	145369
231	21494	145273
232	21594	145229
233	21686	145130
234	21795	145151
235	21890	145072
236	21981	144965
237	22078	144900
238	22167	144782
239	22278	144810
240	22372	144721
241	22462	144611
242	22563	144570
243	22650	144444
