ID,target,oof_prediction,oof_catboost
ID_C1DF84C4D2,1,0.28145888,0.28145888
ID_CB8B764D76,0,0.010102516,0.010102516
ID_D40D58FC67,1,0.28078738,0.28078738
ID_CFD8F26581,0,0.015168372,0.015168372
ID_20EB501231,0,0.011861117,0.011861117
ID_B27891AEB8,0,0.02803379,0.02803379
ID_71C6CD040B,0,0.020658929,0.020658929
ID_D19A5EF71B,0,0.012305833,0.012305833
ID_A7718EDB3F,0,0.03554123,0.03554123
ID_DABF033C98,0,0.040926818,0.040926818
ID_F02570318C,0,0.0578554,0.0578554
ID_237EA41E63,0,0.45130095,0.45130095
ID_902E0AC97B,0,0.16712323,0.16712323
ID_97559A90F0,0,0.023053477,0.023053477
ID_23238C1F33,0,0.09679514,0.09679514
ID_0A14D13129,0,0.11855347,0.11855347
ID_449812DFA0,1,0.75918764,0.75918764
ID_E61F9E7093,1,0.9174951,0.9174951
ID_9CD84BF7F4,1,0.86167425,0.86167425
ID_F715874191,0,0.43514946,0.43514946
ID_968E687FD3,1,0.17061238,0.17061238
ID_A2FA003796,0,0.0107203005,0.0107203005
ID_F9517D6CCA,0,0.25933868,0.25933868
ID_541755490C,0,0.3436985,0.3436985
ID_BF1A4789AF,0,0.6346177,0.6346177
ID_233832B6A2,0,0.008238543,0.008238543
ID_4A473E98D3,0,0.017724974,0.017724974
ID_37D5B98B07,0,0.013671107,0.013671107
ID_29DACE6454,0,0.10744289,0.10744289
ID_A1BCCDFC55,0,0.51795226,0.51795226
ID_5BAC858292,1,0.5978965,0.5978965
ID_A6793C0F93,0,0.03413346,0.03413346
ID_373FAED478,0,0.033667695,0.033667695
ID_FADBD63AF9,1,0.038341574,0.038341574
ID_8951D1AE95,0,0.010579793,0.010579793
ID_FD733C7A46,0,0.03502925,0.03502925
ID_7D0524DF43,0,0.0057517863,0.0057517863
ID_F1D2BEF0D1,0,0.043563087,0.043563087
ID_F866F25CF7,0,0.014872269,0.014872269
ID_C46585589F,1,0.9668876,0.9668876
ID_3D583A0CEE,0,0.030408612,0.030408612
ID_E30FE7C428,0,0.039935086,0.039935086
ID_DB297C9771,0,0.0077870246,0.0077870246
ID_A9E34366EA,0,0.0069686514,0.0069686514
ID_CBBDC2CAE9,0,0.015795784,0.015795784
ID_62D790F239,0,0.022440886,0.022440886
ID_E57EC88F44,0,0.014336027,0.014336027
ID_59CD30E224,0,0.02350528,0.02350528
ID_C8AC299692,0,0.031844094,0.031844094
ID_4514382168,0,0.16810293,0.16810293
ID_354906FCE9,0,0.011776364,0.011776364
ID_28F61D8856,1,0.6039234,0.6039234
ID_2F92AC9A6B,0,0.0053781923,0.0053781923
ID_E5C56ADEB0,0,0.023394777,0.023394777
ID_FC2D43B280,1,0.95622486,0.95622486
ID_B648BBB4E4,0,0.03374611,0.03374611
ID_A7C5442366,0,0.12398019,0.12398019
ID_4EFB3223D1,0,0.7543054,0.7543054
ID_EFC14D0E7A,0,0.1547968,0.1547968
ID_2D9AB13D4A,0,0.08056835,0.08056835
ID_472254CCDA,1,0.8047691,0.8047691
ID_A9D560C0AD,0,0.014871489,0.014871489
ID_A6CFBAC71E,0,0.05181492,0.05181492
ID_F95C00D470,0,0.01472248,0.01472248
ID_963DBE24E0,0,0.0388799,0.0388799
ID_1C1E76012A,0,0.023195695,0.023195695
ID_CD67555F94,0,0.027284632,0.027284632
ID_68EEED7F70,0,0.123221636,0.123221636
ID_953DA63EA0,0,0.06998432,0.06998432
ID_DCAFA4E0DA,0,0.08303453,0.08303453
ID_3BEAB34638,0,0.009733006,0.009733006
